formula_id,item_id,domain,assessor_A_rating,assessor_B_rating,agreement,disagreement_type
F002,ID01,Formula identity,qualified,qualified,TRUE,exact agreement
F002,ID02,Formula identity,qualified,qualified,TRUE,exact agreement
F002,ID03,Formula identity,qualified,qualified,TRUE,exact agreement
F002,ID04,Formula identity,qualified,qualified,TRUE,exact agreement
F002,ID05,Formula identity,not estimable,not estimable,TRUE,exact agreement
F002,ID06,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F002,ID07,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F002,ID08,Formula identity,not estimable,not estimable,TRUE,exact agreement
F002,ID09,Formula identity,qualified,qualified,TRUE,exact agreement
F002,ID10,Formula identity,not estimable,not estimable,TRUE,exact agreement
F002,PC01,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F002,PC02,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F002,PC03,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F002,PC04,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F002,PC05,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F002,PC06,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F002,PC07,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F002,CH01,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F002,CH02,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F002,CH03,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F002,CH04,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F002,CH05,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F002,CH06,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F002,TP01,Target provenance,qualified,qualified,TRUE,exact agreement
F002,TP02,Target provenance,not estimable,not estimable,TRUE,exact agreement
F002,TP03,Target provenance,not estimable,not estimable,TRUE,exact agreement
F002,TP04,Target provenance,not estimable,not estimable,TRUE,exact agreement
F002,TP05,Target provenance,not estimable,not estimable,TRUE,exact agreement
F002,TP06,Target provenance,not estimable,not estimable,TRUE,exact agreement
F002,TP07,Target provenance,not estimable,not estimable,TRUE,exact agreement
F002,TP08,Target provenance,qualified,qualified,TRUE,exact agreement
F002,HC01,Human disease context,not estimable,not estimable,TRUE,exact agreement
F002,HC02,Human disease context,not estimable,not estimable,TRUE,exact agreement
F002,HC03,Human disease context,not estimable,not estimable,TRUE,exact agreement
F002,HC04,Human disease context,not estimable,not estimable,TRUE,exact agreement
F002,HC05,Human disease context,not estimable,not estimable,TRUE,exact agreement
F002,HC06,Human disease context,not estimable,not estimable,TRUE,exact agreement
F002,GE01,Human genetics,not estimable,not estimable,TRUE,exact agreement
F002,GE02,Human genetics,not estimable,not estimable,TRUE,exact agreement
F002,GE03,Human genetics,not estimable,not estimable,TRUE,exact agreement
F002,GE04,Human genetics,not estimable,not estimable,TRUE,exact agreement
F002,GE05,Human genetics,not estimable,not estimable,TRUE,exact agreement
F002,PE01,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F002,PE02,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F002,PE03,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F002,PE04,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F002,SE01,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F002,SE02,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F002,SE03,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F002,SE04,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F003,ID01,Formula identity,qualified,qualified,TRUE,exact agreement
F003,ID02,Formula identity,qualified,qualified,TRUE,exact agreement
F003,ID03,Formula identity,qualified,qualified,TRUE,exact agreement
F003,ID04,Formula identity,qualified,qualified,TRUE,exact agreement
F003,ID05,Formula identity,not estimable,not estimable,TRUE,exact agreement
F003,ID06,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F003,ID07,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F003,ID08,Formula identity,not estimable,not estimable,TRUE,exact agreement
F003,ID09,Formula identity,qualified,qualified,TRUE,exact agreement
F003,ID10,Formula identity,not estimable,not estimable,TRUE,exact agreement
F003,PC01,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F003,PC02,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F003,PC03,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F003,PC04,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F003,PC05,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F003,PC06,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F003,PC07,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F003,CH01,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F003,CH02,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F003,CH03,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F003,CH04,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F003,CH05,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F003,CH06,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F003,TP01,Target provenance,qualified,qualified,TRUE,exact agreement
F003,TP02,Target provenance,not estimable,not estimable,TRUE,exact agreement
F003,TP03,Target provenance,not estimable,not estimable,TRUE,exact agreement
F003,TP04,Target provenance,not estimable,not estimable,TRUE,exact agreement
F003,TP05,Target provenance,not estimable,not estimable,TRUE,exact agreement
F003,TP06,Target provenance,not estimable,not estimable,TRUE,exact agreement
F003,TP07,Target provenance,not estimable,not estimable,TRUE,exact agreement
F003,TP08,Target provenance,qualified,qualified,TRUE,exact agreement
F003,HC01,Human disease context,not estimable,not estimable,TRUE,exact agreement
F003,HC02,Human disease context,not estimable,not estimable,TRUE,exact agreement
F003,HC03,Human disease context,not estimable,not estimable,TRUE,exact agreement
F003,HC04,Human disease context,not estimable,not estimable,TRUE,exact agreement
F003,HC05,Human disease context,not estimable,not estimable,TRUE,exact agreement
F003,HC06,Human disease context,not estimable,not estimable,TRUE,exact agreement
F003,GE01,Human genetics,not estimable,not estimable,TRUE,exact agreement
F003,GE02,Human genetics,not estimable,not estimable,TRUE,exact agreement
F003,GE03,Human genetics,not estimable,not estimable,TRUE,exact agreement
F003,GE04,Human genetics,not estimable,not estimable,TRUE,exact agreement
F003,GE05,Human genetics,not estimable,not estimable,TRUE,exact agreement
F003,PE01,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F003,PE02,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F003,PE03,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F003,PE04,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F003,SE01,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F003,SE02,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F003,SE03,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F003,SE04,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F004,ID01,Formula identity,qualified,qualified,TRUE,exact agreement
F004,ID02,Formula identity,qualified,qualified,TRUE,exact agreement
F004,ID03,Formula identity,qualified,qualified,TRUE,exact agreement
F004,ID04,Formula identity,qualified,qualified,TRUE,exact agreement
F004,ID05,Formula identity,not estimable,not estimable,TRUE,exact agreement
F004,ID06,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F004,ID07,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F004,ID08,Formula identity,not estimable,not estimable,TRUE,exact agreement
F004,ID09,Formula identity,qualified,qualified,TRUE,exact agreement
F004,ID10,Formula identity,not estimable,not estimable,TRUE,exact agreement
F004,PC01,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F004,PC02,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F004,PC03,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F004,PC04,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F004,PC05,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F004,PC06,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F004,PC07,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F004,CH01,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F004,CH02,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F004,CH03,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F004,CH04,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F004,CH05,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F004,CH06,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F004,TP01,Target provenance,qualified,qualified,TRUE,exact agreement
F004,TP02,Target provenance,not estimable,not estimable,TRUE,exact agreement
F004,TP03,Target provenance,not estimable,not estimable,TRUE,exact agreement
F004,TP04,Target provenance,not estimable,not estimable,TRUE,exact agreement
F004,TP05,Target provenance,not estimable,not estimable,TRUE,exact agreement
F004,TP06,Target provenance,not estimable,not estimable,TRUE,exact agreement
F004,TP07,Target provenance,not estimable,not estimable,TRUE,exact agreement
F004,TP08,Target provenance,qualified,qualified,TRUE,exact agreement
F004,HC01,Human disease context,not estimable,not estimable,TRUE,exact agreement
F004,HC02,Human disease context,not estimable,not estimable,TRUE,exact agreement
F004,HC03,Human disease context,not estimable,not estimable,TRUE,exact agreement
F004,HC04,Human disease context,not estimable,not estimable,TRUE,exact agreement
F004,HC05,Human disease context,not estimable,not estimable,TRUE,exact agreement
F004,HC06,Human disease context,not estimable,not estimable,TRUE,exact agreement
F004,GE01,Human genetics,not estimable,not estimable,TRUE,exact agreement
F004,GE02,Human genetics,not estimable,not estimable,TRUE,exact agreement
F004,GE03,Human genetics,not estimable,not estimable,TRUE,exact agreement
F004,GE04,Human genetics,not estimable,not estimable,TRUE,exact agreement
F004,GE05,Human genetics,not estimable,not estimable,TRUE,exact agreement
F004,PE01,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F004,PE02,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F004,PE03,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F004,PE04,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F004,SE01,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F004,SE02,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F004,SE03,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F004,SE04,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F005,ID01,Formula identity,qualified,qualified,TRUE,exact agreement
F005,ID02,Formula identity,qualified,qualified,TRUE,exact agreement
F005,ID03,Formula identity,qualified,qualified,TRUE,exact agreement
F005,ID04,Formula identity,qualified,qualified,TRUE,exact agreement
F005,ID05,Formula identity,not estimable,not estimable,TRUE,exact agreement
F005,ID06,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F005,ID07,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F005,ID08,Formula identity,not estimable,not estimable,TRUE,exact agreement
F005,ID09,Formula identity,qualified,qualified,TRUE,exact agreement
F005,ID10,Formula identity,not estimable,not estimable,TRUE,exact agreement
F005,PC01,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F005,PC02,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F005,PC03,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F005,PC04,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F005,PC05,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F005,PC06,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F005,PC07,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F005,CH01,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F005,CH02,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F005,CH03,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F005,CH04,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F005,CH05,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F005,CH06,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F005,TP01,Target provenance,qualified,qualified,TRUE,exact agreement
F005,TP02,Target provenance,not estimable,not estimable,TRUE,exact agreement
F005,TP03,Target provenance,not estimable,not estimable,TRUE,exact agreement
F005,TP04,Target provenance,not estimable,not estimable,TRUE,exact agreement
F005,TP05,Target provenance,not estimable,not estimable,TRUE,exact agreement
F005,TP06,Target provenance,not estimable,not estimable,TRUE,exact agreement
F005,TP07,Target provenance,not estimable,not estimable,TRUE,exact agreement
F005,TP08,Target provenance,qualified,qualified,TRUE,exact agreement
F005,HC01,Human disease context,not estimable,not estimable,TRUE,exact agreement
F005,HC02,Human disease context,not estimable,not estimable,TRUE,exact agreement
F005,HC03,Human disease context,not estimable,not estimable,TRUE,exact agreement
F005,HC04,Human disease context,not estimable,not estimable,TRUE,exact agreement
F005,HC05,Human disease context,not estimable,not estimable,TRUE,exact agreement
F005,HC06,Human disease context,not estimable,not estimable,TRUE,exact agreement
F005,GE01,Human genetics,not estimable,not estimable,TRUE,exact agreement
F005,GE02,Human genetics,not estimable,not estimable,TRUE,exact agreement
F005,GE03,Human genetics,not estimable,not estimable,TRUE,exact agreement
F005,GE04,Human genetics,not estimable,not estimable,TRUE,exact agreement
F005,GE05,Human genetics,not estimable,not estimable,TRUE,exact agreement
F005,PE01,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F005,PE02,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F005,PE03,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F005,PE04,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F005,SE01,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F005,SE02,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F005,SE03,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F005,SE04,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F007,ID01,Formula identity,qualified,qualified,TRUE,exact agreement
F007,ID02,Formula identity,qualified,qualified,TRUE,exact agreement
F007,ID03,Formula identity,qualified,qualified,TRUE,exact agreement
F007,ID04,Formula identity,qualified,qualified,TRUE,exact agreement
F007,ID05,Formula identity,not estimable,not estimable,TRUE,exact agreement
F007,ID06,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F007,ID07,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F007,ID08,Formula identity,not estimable,not estimable,TRUE,exact agreement
F007,ID09,Formula identity,qualified,qualified,TRUE,exact agreement
F007,ID10,Formula identity,not estimable,not estimable,TRUE,exact agreement
F007,PC01,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F007,PC02,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F007,PC03,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F007,PC04,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F007,PC05,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F007,PC06,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F007,PC07,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F007,CH01,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F007,CH02,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F007,CH03,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F007,CH04,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F007,CH05,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F007,CH06,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F007,TP01,Target provenance,qualified,qualified,TRUE,exact agreement
F007,TP02,Target provenance,not estimable,not estimable,TRUE,exact agreement
F007,TP03,Target provenance,not estimable,not estimable,TRUE,exact agreement
F007,TP04,Target provenance,not estimable,not estimable,TRUE,exact agreement
F007,TP05,Target provenance,not estimable,not estimable,TRUE,exact agreement
F007,TP06,Target provenance,not estimable,not estimable,TRUE,exact agreement
F007,TP07,Target provenance,not estimable,not estimable,TRUE,exact agreement
F007,TP08,Target provenance,qualified,qualified,TRUE,exact agreement
F007,HC01,Human disease context,not estimable,not estimable,TRUE,exact agreement
F007,HC02,Human disease context,not estimable,not estimable,TRUE,exact agreement
F007,HC03,Human disease context,not estimable,not estimable,TRUE,exact agreement
F007,HC04,Human disease context,not estimable,not estimable,TRUE,exact agreement
F007,HC05,Human disease context,not estimable,not estimable,TRUE,exact agreement
F007,HC06,Human disease context,not estimable,not estimable,TRUE,exact agreement
F007,GE01,Human genetics,not estimable,not estimable,TRUE,exact agreement
F007,GE02,Human genetics,not estimable,not estimable,TRUE,exact agreement
F007,GE03,Human genetics,not estimable,not estimable,TRUE,exact agreement
F007,GE04,Human genetics,not estimable,not estimable,TRUE,exact agreement
F007,GE05,Human genetics,not estimable,not estimable,TRUE,exact agreement
F007,PE01,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F007,PE02,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F007,PE03,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F007,PE04,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F007,SE01,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F007,SE02,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F007,SE03,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F007,SE04,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F009,ID01,Formula identity,qualified,qualified,TRUE,exact agreement
F009,ID02,Formula identity,qualified,qualified,TRUE,exact agreement
F009,ID03,Formula identity,qualified,qualified,TRUE,exact agreement
F009,ID04,Formula identity,qualified,qualified,TRUE,exact agreement
F009,ID05,Formula identity,not estimable,not estimable,TRUE,exact agreement
F009,ID06,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F009,ID07,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F009,ID08,Formula identity,not estimable,not estimable,TRUE,exact agreement
F009,ID09,Formula identity,qualified,qualified,TRUE,exact agreement
F009,ID10,Formula identity,not estimable,not estimable,TRUE,exact agreement
F009,PC01,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F009,PC02,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F009,PC03,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F009,PC04,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F009,PC05,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F009,PC06,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F009,PC07,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F009,CH01,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F009,CH02,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F009,CH03,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F009,CH04,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F009,CH05,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F009,CH06,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F009,TP01,Target provenance,qualified,qualified,TRUE,exact agreement
F009,TP02,Target provenance,not estimable,not estimable,TRUE,exact agreement
F009,TP03,Target provenance,not estimable,not estimable,TRUE,exact agreement
F009,TP04,Target provenance,not estimable,not estimable,TRUE,exact agreement
F009,TP05,Target provenance,not estimable,not estimable,TRUE,exact agreement
F009,TP06,Target provenance,not estimable,not estimable,TRUE,exact agreement
F009,TP07,Target provenance,not estimable,not estimable,TRUE,exact agreement
F009,TP08,Target provenance,qualified,qualified,TRUE,exact agreement
F009,HC01,Human disease context,not estimable,not estimable,TRUE,exact agreement
F009,HC02,Human disease context,not estimable,not estimable,TRUE,exact agreement
F009,HC03,Human disease context,not estimable,not estimable,TRUE,exact agreement
F009,HC04,Human disease context,not estimable,not estimable,TRUE,exact agreement
F009,HC05,Human disease context,not estimable,not estimable,TRUE,exact agreement
F009,HC06,Human disease context,not estimable,not estimable,TRUE,exact agreement
F009,GE01,Human genetics,not estimable,not estimable,TRUE,exact agreement
F009,GE02,Human genetics,not estimable,not estimable,TRUE,exact agreement
F009,GE03,Human genetics,not estimable,not estimable,TRUE,exact agreement
F009,GE04,Human genetics,not estimable,not estimable,TRUE,exact agreement
F009,GE05,Human genetics,not estimable,not estimable,TRUE,exact agreement
